ID,Vendor,Text
62,alexa term of use,your use of any third party service is subject to this agreement and any third party term applicable to such third party service
63,alexa term of use,certain of these third party term can be found in the legal notice section of your alexa app or may be linked from your alexa app and may be updated from time to time
64,alexa term of use,if you do not accept the third party term applicable to third party service do not use that third party service
65,alexa term of use,when using third party service you are responsible for any information you provide to the third party
66,alexa term of use,amazon ha no responsibility or liability for third party service
67,alexa term of use,publisher of third party service may change or discontinue the functionality or feature of their third party service
69,alexa term of use,2 2 third party product alexa enabled product and auxiliary product include third party product that amazon doe not manufacture or develop
70,alexa term of use,amazon may automatically update the firmware for certain auxiliary product on behalf of the applicable manufacturer
71,alexa term of use,amazon ha no responsibility or liability for such third party product or manufacturer provided firmware
74,alexa term of use,general
77,alexa term of use,3 1 information the software will provide amazon with information about your use of alexa your alexa interaction and your alexa enabled product and auxiliary product such a device type name feature status network connectivity and location
78,alexa term of use,this information may be stored on server outside the country in which you live
79,alexa term of use,we will handle any information we receive in accordance with the amazon com privacy notice
81,alexa term of use,3 2 functionality
82,alexa term of use,content we do not guarantee that alexa or it functionality or content including traffic health or stock information is accurate reliable always available or complete
83,alexa term of use,you may encounter content through alexa that you find offensive indecent or objectionable
84,alexa term of use,amazon ha no responsibility or liability for such content
86,alexa term of use,3 3 change to alexa
87,alexa term of use,amendment we may change suspend or discontinue alexa or any part of it at any time without notice
88,alexa term of use,we may amend any of this agreement term at our sole discretion by posting the revised term on the amazon com website
89,alexa term of use,your continued use of alexa after the effective date of the revised agreement constitutes your acceptance of the term
91,alexa term of use,3 4 geographic restriction alexa is operated in the united state
92,alexa term of use,we may restrict access to alexa or certain alexa feature from other location
94,alexa term of use,3 5 termination we may terminate your access to alexa at our discretion without notice except a may be required by applicable law
95,alexa term of use,your right under this agreement will automatically terminate without notice if you fail to comply with any of it term
96,alexa term of use,in case of such termination amazon may immediately revoke your access to alexa without refund of any fee
97,alexa term of use,amazon failure to insist upon or enforce your strict compliance with this agreement will not constitute waiver of any of it right
99,alexa term of use,3 6 dispute binding arbitration
100,alexa term of use,any dispute or claim arising from or relating to this agreement or alexa is subject to the binding arbitration governing law disclaimer of warranty limitation of liability and all other term in the
101,alexa term of use,amazon com condition of use
103,alexa term of use,by using alexa you agree to be bound by those term
106,alexa term of use,3 7 disclaimer of warranty and limitation of liability
107,alexa term of use,without limiting the disclaimer of warranty and limitation of liability term in the amazon com condition of use and unless otherwise required by applicable law in no event will our or our licensors or our service provider aggregate liability with respect to any claim arising from or relating to this agreement or your use of alexa exceed fifty dollar 50
110,alexa term of use,3 8 severability if any term or condition of this agreement is deemed invalid void or for any reason unenforceable that part will be deemed severable and will not affect the validity and enforceability of any remaining term or condition
112,alexa term of use,3 9 contact information for help with alexa or resolving other issue please contact customer service http www amazon com contact u
114,alexa term of use,alexa communication schedule
